asn,cc,name,cone,unsigned_customers,impact_score
36236,US,"NetActuate, Inc",169,57,9633
20205,US,"Amplex Electric, Inc.",186,50,9300
7016,US,"Comcast Cable Communications, LLC",114,81,9234
28126,BR,BRISANET SERVICOS DE TELECOMUNICACOES S.A,124,73,9052
59796,SK,StormWall s.r.o.,238,38,9044
18403,VN,FPT Telecom Company,310,29,8990
32097,US,"WholeSale Internet, Inc.",210,42,8820
206499,GB,LOCIX LIMITED,301,29,8729
55002,US,"F5, Inc.",145,60,8700
9050,RO,Orange Romania S.A.,174,49,8526
28343,BR,Unifique Telecomunicações SA,120,70,8400
21497,UA,Vodafone Ukraine,133,63,8379
38158,ID,PT Cyberindo Aditama,298,28,8344
33132,US,Zayo Bandwidth,101,82,8282
6079,US,Astound (fka. RCN),123,67,8241
30781,FR,Free Pro SAS,170,48,8160
8551,IL,Bezeq International Ltd.,140,58,8120
37613,GH,DOLPHIN TELECOMMUNICATION LIMITED,106,76,8056
209533,CH,iFog GmbH - BGPTunnel,96,83,7968
27064,US,Defense Information Systems Agency (DISA),89,89,7921
8151,MX,UNINET,100,77,7700
8167,BR,V.tal,124,62,7688
15935,CZ,ha-vel internet s.r.o.,226,34,7684
18229,IN,CtrlS,448,17,7616
52320,CO,V.tal (GlobeNet),135,55,7425
33763,MU,Paratus Telecommunications Limited,106,70,7420
4761,ID,PT Indosat Tbk,145,51,7395
2686,US,"AT&T Enterprises, LLC",98,75,7350
52554,BR,Rede MegasNet Telecomunicações,106,69,7314
17557,PK,Pakistan Telecommunication Company Limited,203,36,7308
11172,MX,"Alestra, S. de R.L. de C.V.",114,64,7296
64126,DO,"DOMINICAN TELECOM PRIME, DTP, S.R.L.",64,113,7232
2711,US,Spirit Communications,103,70,7210
11351,US,Charter Communications Inc,93,77,7161
3215,FR,Orange S.A.,146,49,7154
5603,SI,"Telekom Slovenije, d.d.",156,45,7020
24961,DE,WIIT AG (fka. myLoc Managed IT AG),152,46,6992
42337,IR,Respina Networks & Beyond PJSC,278,25,6950
12129,US,"123.Net, Inc.",132,52,6864
4713,JP,NTT Communications Corporation (OCN),103,66,6798
262462,BR,Aranet Play,106,64,6784
8772,UA,NetAssist LLC,102,66,6732
13767,US,"DataBank Holdings, Ltd.",91,73,6643
8400,RS,Telekom Srbija a.d.,125,52,6500
9730,IN,Bharti Telesonic Ltd,230,28,6440
4764,AU,Aussie Fibre Pty Ltd,165,39,6435
4788,MY,TM Technology Services Sdn. Bhd.,148,42,6216
8280,GR,SYNAPSECOM S.A. Provider of Telecommunications and Internet Services,339,18,6102
39392,CZ,SH.cz s.r.o.,172,35,6020
3573,US,Accenture LLP,125,48,6000
328977,KE,Wavex Internet Service Provider LTD,199,30,5970
12025,US,Iron Mountain Data Centers,93,63,5859
2854,RU,LLC Orange Business Services,89,64,5696
199599,RU,"Telecom-Birzha, LLC",104,54,5616
